from_stop_id,to_stop_id,transfer_type,min_transfer_time
G15_S,G15_N,0,
A38_N,418_N,0,
418_N,A38_N,0,
A38_N,229_S,0,
229_S,A38_N,0,
A38_N,M22_S,0,
M22_S,A38_N,0,
A38_N,A38_S,0,
A38_S,A38_N,0,
A38_N,418_S,0,
418_S,A38_N,0,
A38_N,A38_S,0,
A38_S,A38_N,0,
L02_S,D19_S,0,
D19_S,L02_S,0,
A10_N,A10_S,0,
A10_S,A10_N,0,
119_N,119_S,0,
119_S,119_N,0,
A12_N,A12_S,0,
A12_S,A12_N,0,
L02_N,D19_N,0,
D19_N,L02_N,0,
L02_N,132_S,0,200
132_S,L02_N,0,200
L02_N,D19_S,0,
D19_S,L02_N,0,
L02_N,L02_S,0,
L02_S,L02_N,0,
A55_N,A55_S,0,
A55_S,A55_N,0,
A51_S,L22_S,0,
L22_S,A51_S,0,
A51_S,J27_S,0,
J27_S,A51_S,0,
F03_N,F03_S,0,
F03_S,F03_N,0,
H14_N,H14_S,0,
H14_S,H14_N,0,
A51_N,L22_N,0,
L22_N,A51_N,0,
A51_N,J27_N,0,
J27_N,A51_N,0,
A51_N,A51_S,0,
A51_S,A51_N,0,
A51_N,L22_S,0,
L22_S,A51_N,0,
A51_N,J27_S,0,
J27_S,A51_N,0,
628_S,628_N,0,
628_N,628_S,0,
137_N,137_S,0,
137_S,137_N,0,
423_S,R28_S,0,
R28_S,423_S,0,
F21_N,F21_S,0,
F21_S,F21_N,0,
H06_N,H06_S,0,
H06_S,H06_N,0,
423_N,R28_N,0,
R28_N,423_N,0,
423_N,232_S,0,
232_S,423_N,0,
423_N,423_S,0,
423_S,423_N,0,
423_N,R28_S,0,
R28_S,423_N,0,
423_N,423_S,0,
423_S,423_N,0,
M05_N,M05_S,0,
M05_S,M05_N,0,
R39_N,R39_S,0,
R39_S,R39_N,0,
624_S,624_N,0,
624_N,624_S,0,
H04_N,H04_S,0,
H04_S,H04_N,0,
604_N,604_S,0,
604_S,604_N,0,
D16_S,724_N,0,
724_N,D16_S,0,
D16_S,724_S,0,
724_S,D16_S,0,
D16_S,D16_N,0,
D16_N,D16_S,0,
A57_N,A57_S,0,
A57_S,A57_N,0,
J21_N,J21_S,0,
J21_S,J21_N,0,
D14_S,D14_N,0,
D14_N,D14_S,0,
G35_N,G35_S,0,
G35_S,G35_N,0,
606_N,606_S,0,
606_S,606_N,0,
J27_N,A51_S,0,
A51_S,J27_N,0,
J27_N,L22_S,0,
L22_S,J27_N,0,
J27_N,J27_S,0,
J27_S,J27_N,0,
J27_N,J27_S,0,
J27_S,J27_N,0,
B04_N,B04_S,0,
B04_S,B04_N,0,
D16_N,724_N,0,
724_N,D16_N,0,
D16_N,724_S,0,
724_S,D16_N,0,
R31_N,235_S,0,
235_S,R31_N,0,
R31_N,D24_S,0,
D24_S,R31_N,0,
R31_N,R31_S,0,
R31_S,R31_N,0,
R16_N,127_S,0,
127_S,R16_N,0,
R16_N,R16_S,0,
R16_S,R16_N,0,
Q01_N,M20_N,0,
M20_N,Q01_N,0,
Q01_N,R23_N,0,
R23_N,Q01_N,0,
Q01_N,639_S,0,
639_S,Q01_N,0,
Q01_N,Q01_S,0,
Q01_S,Q01_N,0,
Q01_N,M20_S,0,
M20_S,Q01_N,0,
Q01_N,R23_S,0,
R23_S,Q01_N,0,
Q01_S,M20_S,0,
M20_S,Q01_S,0,
